folder,id,folder,name
n01737021,59,n01737021,water snake
n01739381,60,n01739381,vine snake
n01740131,61,n01740131,"night snake, Hypsiglena torquata"
n01742172,62,n01742172,"boa constrictor, Constrictor constrictor"
n01744401,63,n01744401,"rock python, rock snake, Python sebae"
n01748264,64,n01748264,"Indian cobra, Naja naja"
n01749939,65,n01749939,green mamba
n01751748,66,n01751748,sea snake
n01753488,67,n01753488,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus"
n01755581,68,n01755581,"diamondback, diamondback rattlesnake, Crotalus adamanteus"
n01756291,69,n01756291,"sidewinder, horned rattlesnake, Crotalus cerastes"
n01768244,70,n01768244,trilobite
n01770081,71,n01770081,"harvestman, daddy longlegs, Phalangium opilio"
n01770393,72,n01770393,scorpion
n01773157,73,n01773157,"black and gold garden spider, Argiope aurantia"
n01773549,74,n01773549,"barn spider, Araneus cavaticus"
n01773797,75,n01773797,"garden spider, Aranea diademata"
n01774384,76,n01774384,"black widow, Latrodectus mactans"
n01774750,77,n01774750,tarantula
n01775062,78,n01775062,"wolf spider, hunting spider"
n01776313,79,n01776313,tick
n01784675,80,n01784675,centipede
n01795545,81,n01795545,black grouse
n01796340,82,n01796340,ptarmigan
n01797886,83,n01797886,"ruffed grouse, partridge, Bonasa umbellus"
n01798484,84,n01798484,"prairie chicken, prairie grouse, prairie fowl"
n01806143,85,n01806143,peacock
n01806567,86,n01806567,quail
n01807496,87,n01807496,partridge
n01817953,88,n01817953,"African grey, African gray, Psittacus erithacus"
n01818515,89,n01818515,macaw
n01819313,90,n01819313,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita"
n01820546,91,n01820546,lorikeet
n01824575,92,n01824575,coucal
n01828970,93,n01828970,bee eater
n01829413,94,n01829413,hornbill
n01833805,95,n01833805,hummingbird
n01843065,96,n01843065,jacamar
n01843383,97,n01843383,toucan
n01847000,98,n01847000,drake
n01855032,99,n01855032,"red-breasted merganser, Mergus serrator"
n01855672,100,n01855672,goose
n01860187,101,n01860187,"black swan, Cygnus atratus"
n01871265,102,n01871265,tusker
n01872401,103,n01872401,"echidna, spiny anteater, anteater"
n01873310,104,n01873310,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus"
n01877812,105,n01877812,"wallaby, brush kangaroo"
n01882714,106,n01882714,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus"
n01883070,107,n01883070,wombat
n01910747,108,n01910747,jellyfish
n01914609,109,n01914609,"sea anemone, anemone"
n01917289,110,n01917289,brain coral
n01924916,111,n01924916,"flatworm, platyhelminth"
n01930112,112,n01930112,"nematode, nematode worm, roundworm"
n01943899,113,n01943899,conch
n01944390,114,n01944390,snail
n01945685,115,n01945685,slug
n01950731,116,n01950731,"sea slug, nudibranch"
n01955084,117,n01955084,"chiton, coat-of-mail shell, sea cradle, polyplacophore"
n01968897,118,n01968897,"chambered nautilus, pearly nautilus, nautilus"
n01978287,119,n01978287,"Dungeness crab, Cancer magister"
n01978455,120,n01978455,"rock crab, Cancer irroratus"
n01980166,121,n01980166,fiddler crab
n01981276,122,n01981276,"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica"
n01983481,123,n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus"
n01984695,124,n01984695,"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish"
n01985128,125,n01985128,"crayfish, crawfish, crawdad, crawdaddy"
n01986214,126,n01986214,hermit crab
n01990800,127,n01990800,isopod
n02002556,128,n02002556,"white stork, Ciconia ciconia"
n02002724,129,n02002724,"black stork, Ciconia nigra"
n02006656,130,n02006656,spoonbill
n02007558,131,n02007558,flamingo
n02009229,132,n02009229,"little blue heron, Egretta caerulea"
n02009912,133,n02009912,"American egret, great white heron, Egretta albus"
n02011460,134,n02011460,bittern
n02012849,135,n02012849,crane
n02013706,136,n02013706,"limpkin, Aramus pictus"
n02017213,137,n02017213,"European gallinule, Porphyrio porphyrio"
n02018207,138,n02018207,"American coot, marsh hen, mud hen, water hen, Fulica americana"
n02018795,139,n02018795,bustard
n02025239,140,n02025239,"ruddy turnstone, Arenaria interpres"
n02027492,141,n02027492,"red-backed sandpiper, dunlin, Erolia alpina"
n02028035,142,n02028035,"redshank, Tringa totanus"
n02033041,143,n02033041,dowitcher
n02037110,144,n02037110,"oystercatcher, oyster catcher"
n02051845,145,n02051845,pelican
n02056570,146,n02056570,"king penguin, Aptenodytes patagonica"
n02058221,147,n02058221,"albatross, mollymawk"
n02066245,148,n02066245,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus"
n02071294,149,n02071294,"killer whale, killer, orca, grampus, sea wolf, Orcinus orca"
n02074367,150,n02074367,"dugong, Dugong dugon"
n02077923,151,n02077923,sea lion
n02085620,152,n02085620,Chihuahua
n02085782,153,n02085782,Japanese spaniel
n02085936,154,n02085936,"Maltese dog, Maltese terrier, Maltese"
n02086079,155,n02086079,"Pekinese, Pekingese, Peke"
n02086240,156,n02086240,Shih-Tzu
n02086646,157,n02086646,Blenheim spaniel
n02086910,158,n02086910,papillon
n02087046,159,n02087046,toy terrier
n02087394,160,n02087394,Rhodesian ridgeback
n02088094,161,n02088094,"Afghan hound, Afghan"
n02088238,162,n02088238,"basset, basset hound"
n02088364,163,n02088364,beagle
n02088466,164,n02088466,"bloodhound, sleuthhound"
n02088632,165,n02088632,bluetick
n02089078,166,n02089078,black-and-tan coonhound
n02089867,167,n02089867,"Walker hound, Walker foxhound"
n02089973,168,n02089973,English foxhound
n02090379,169,n02090379,redbone
n02090622,170,n02090622,"borzoi, Russian wolfhound"
n02090721,171,n02090721,Irish wolfhound
n02091032,172,n02091032,Italian greyhound
n02091134,173,n02091134,whippet
n02091244,174,n02091244,"Ibizan hound, Ibizan Podenco"
n02091467,175,n02091467,"Norwegian elkhound, elkhound"
n02091635,176,n02091635,"otterhound, otter hound"
n02091831,177,n02091831,"Saluki, gazelle hound"
n02092002,178,n02092002,"Scottish deerhound, deerhound"
n02092339,179,n02092339,Weimaraner
n02093256,180,n02093256,"Staffordshire bullterrier, Staffordshire bull terrier"
n02093428,181,n02093428,"American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"
n02093647,182,n02093647,Bedlington terrier
n02093754,183,n02093754,Border terrier
n02093859,184,n02093859,Kerry blue terrier
n02093991,185,n02093991,Irish terrier
n02094114,186,n02094114,Norfolk terrier
n02094258,187,n02094258,Norwich terrier
n02094433,188,n02094433,Yorkshire terrier
n02095314,189,n02095314,wire-haired fox terrier
n02095570,190,n02095570,Lakeland terrier
n02095889,191,n02095889,"Sealyham terrier, Sealyham"
n02096051,192,n02096051,"Airedale, Airedale terrier"
n02096177,193,n02096177,"cairn, cairn terrier"
n02096294,194,n02096294,Australian terrier
n02096437,195,n02096437,"Dandie Dinmont, Dandie Dinmont terrier"
n02096585,196,n02096585,"Boston bull, Boston terrier"
n02097047,197,n02097047,miniature schnauzer
n02097130,198,n02097130,giant schnauzer
n02097209,199,n02097209,standard schnauzer
n02097298,200,n02097298,"Scotch terrier, Scottish terrier, Scottie"
n02097474,201,n02097474,"Tibetan terrier, chrysanthemum dog"
n02097658,202,n02097658,"silky terrier, Sydney silky"
n02098105,203,n02098105,soft-coated wheaten terrier
n02098286,204,n02098286,West Highland white terrier
n02098413,205,n02098413,"Lhasa, Lhasa apso"
n02099267,206,n02099267,flat-coated retriever
n02099429,207,n02099429,curly-coated retriever
n02099601,208,n02099601,golden retriever
n02099712,209,n02099712,Labrador retriever
n02099849,210,n02099849,Chesapeake Bay retriever
n02100236,211,n02100236,German short-haired pointer
n02100583,212,n02100583,"vizsla, Hungarian pointer"
n02100735,213,n02100735,English setter
n02100877,214,n02100877,"Irish setter, red setter"
n02101006,215,n02101006,Gordon setter
n02101388,216,n02101388,Brittany spaniel
n02101556,217,n02101556,"clumber, clumber spaniel"
n02102040,218,n02102040,"English springer, English springer spaniel"
n02102177,219,n02102177,Welsh springer spaniel
n02102318,220,n02102318,"cocker spaniel, English cocker spaniel, cocker"
n02102480,221,n02102480,Sussex spaniel
n02102973,222,n02102973,Irish water spaniel
n02104029,223,n02104029,kuvasz
n02104365,224,n02104365,schipperke
n02105056,225,n02105056,groenendael
n02105162,226,n02105162,malinois
n02105251,227,n02105251,briard
n02105412,228,n02105412,kelpie
n02105505,229,n02105505,komondor
n02105641,230,n02105641,"Old English sheepdog, bobtail"
n02105855,231,n02105855,"Shetland sheepdog, Shetland sheep dog, Shetland"
n02106030,232,n02106030,collie
n02106166,233,n02106166,Border collie
n02106382,234,n02106382,"Bouvier des Flandres, Bouviers des Flandres"
n02106550,235,n02106550,Rottweiler
n02106662,236,n02106662,"German shepherd, German shepherd dog, German police dog, alsatian"
n02107142,237,n02107142,"Doberman, Doberman pinscher"
n02107312,238,n02107312,miniature pinscher
n02107574,239,n02107574,Greater Swiss Mountain dog
n02107683,240,n02107683,Bernese mountain dog
n02107908,241,n02107908,Appenzeller
n02108000,242,n02108000,EntleBucher
n02108089,243,n02108089,boxer
n02108422,244,n02108422,bull mastiff
n02108551,245,n02108551,Tibetan mastiff
n02108915,246,n02108915,French bulldog
n02109047,247,n02109047,Great Dane
n02109525,248,n02109525,"Saint Bernard, St Bernard"
n02109961,249,n02109961,"Eskimo dog, husky"
n02110063,250,n02110063,"malamute, malemute, Alaskan malamute"
n02110185,251,n02110185,Siberian husky
n02110341,252,n02110341,"dalmatian, coach dog, carriage dog"
n02110627,253,n02110627,"affenpinscher, monkey pinscher, monkey dog"
n02110806,254,n02110806,basenji
n02110958,255,n02110958,"pug, pug-dog"
n02111129,256,n02111129,Leonberg
n02111277,257,n02111277,"Newfoundland, Newfoundland dog"
n02111500,258,n02111500,Great Pyrenees
n02111889,259,n02111889,"Samoyed, Samoyede"
n02112018,260,n02112018,Pomeranian
n02112137,261,n02112137,"chow, chow chow"
n02112350,262,n02112350,keeshond
n02112706,263,n02112706,Brabancon griffon
n02113023,264,n02113023,"Pembroke, Pembroke Welsh corgi"
n02113186,265,n02113186,"Cardigan, Cardigan Welsh corgi"
n02113624,266,n02113624,toy poodle
n02113712,267,n02113712,miniature poodle
n02113799,268,n02113799,standard poodle
n02113978,269,n02113978,Mexican hairless
n02114367,270,n02114367,"timber wolf, grey wolf, gray wolf, Canis lupus"
n02114548,271,n02114548,"white wolf, Arctic wolf, Canis lupus tundrarum"
n02114712,272,n02114712,"red wolf, maned wolf, Canis rufus, Canis niger"
n02114855,273,n02114855,"coyote, prairie wolf, brush wolf, Canis latrans"
n02115641,274,n02115641,"dingo, warrigal, warragal, Canis dingo"
n02115913,275,n02115913,"dhole, Cuon alpinus"
n02116738,276,n02116738,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus"
n02117135,277,n02117135,"hyena, hyaena"
n02119022,278,n02119022,"red fox, Vulpes vulpes"
n02119789,279,n02119789,"kit fox, Vulpes macrotis"
n02120079,280,n02120079,"Arctic fox, white fox, Alopex lagopus"
n02120505,281,n02120505,"grey fox, gray fox, Urocyon cinereoargenteus"
n02123045,282,n02123045,"tabby, tabby cat"
n02123159,283,n02123159,tiger cat
n02123394,284,n02123394,Persian cat
n02123597,285,n02123597,"Siamese cat, Siamese"
n02124075,286,n02124075,Egyptian cat
n02125311,287,n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor"
n02127052,288,n02127052,"lynx, catamount"
n02128385,289,n02128385,"leopard, Panthera pardus"
n02128757,290,n02128757,"snow leopard, ounce, Panthera uncia"
n02128925,291,n02128925,"jaguar, panther, Panthera onca, Felis onca"
n02129165,292,n02129165,"lion, king of beasts, Panthera leo"
n02129604,293,n02129604,"tiger, Panthera tigris"
n02130308,294,n02130308,"cheetah, chetah, Acinonyx jubatus"
n02132136,295,n02132136,"brown bear, bruin, Ursus arctos"
n02133161,296,n02133161,"American black bear, black bear, Ursus americanus, Euarctos americanus"
n02134084,297,n02134084,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"
n02134418,298,n02134418,"sloth bear, Melursus ursinus, Ursus ursinus"
n02137549,299,n02137549,mongoose
n02138441,300,n02138441,"meerkat, mierkat"
n02165105,301,n02165105,tiger beetle
n02165456,302,n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle"
n02167151,303,n02167151,"ground beetle, carabid beetle"
n02168699,304,n02168699,"long-horned beetle, longicorn, longicorn beetle"
n02169497,305,n02169497,"leaf beetle, chrysomelid"
n02172182,306,n02172182,dung beetle
n02174001,307,n02174001,rhinoceros beetle
n02177972,308,n02177972,weevil
n02190166,309,n02190166,fly
n02206856,310,n02206856,bee
n02219486,311,n02219486,"ant, emmet, pismire"
n02226429,312,n02226429,"grasshopper, hopper"
n02229544,313,n02229544,cricket
n02231487,314,n02231487,"walking stick, walkingstick, stick insect"
n02233338,315,n02233338,"cockroach, roach"
n02236044,316,n02236044,"mantis, mantid"
n02256656,317,n02256656,"cicada, cicala"
n02259212,318,n02259212,leafhopper
n02264363,319,n02264363,"lacewing, lacewing fly"
n02268443,320,n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk"
n02268853,321,n02268853,damselfly
n02276258,322,n02276258,admiral
n02277742,323,n02277742,"ringlet, ringlet butterfly"
n02279972,324,n02279972,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus"
n02280649,325,n02280649,cabbage butterfly
n02281406,326,n02281406,"sulphur butterfly, sulfur butterfly"
n02281787,327,n02281787,"lycaenid, lycaenid butterfly"
n02317335,328,n02317335,"starfish, sea star"
n02319095,329,n02319095,sea urchin
n02321529,330,n02321529,"sea cucumber, holothurian"
n02325366,331,n02325366,"wood rabbit, cottontail, cottontail rabbit"
n02326432,332,n02326432,hare
n02328150,333,n02328150,"Angora, Angora rabbit"
n02342885,334,n02342885,hamster
n02346627,335,n02346627,"porcupine, hedgehog"
n02356798,336,n02356798,"fox squirrel, eastern fox squirrel, Sciurus niger"
n02361337,337,n02361337,marmot
n02363005,338,n02363005,beaver
n02364673,339,n02364673,"guinea pig, Cavia cobaya"
n02389026,340,n02389026,sorrel
n02391049,341,n02391049,zebra
n02395406,342,n02395406,"hog, pig, grunter, squealer, Sus scrofa"
n02396427,343,n02396427,"wild boar, boar, Sus scrofa"
n02397096,344,n02397096,warthog
n02398521,345,n02398521,"hippopotamus, hippo, river horse, Hippopotamus amphibius"
n02403003,346,n02403003,ox
n02408429,347,n02408429,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis"
n02410509,348,n02410509,bison
n02412080,349,n02412080,"ram, tup"
n02415577,350,n02415577,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
n02417914,351,n02417914,"ibex, Capra ibex"
n02422106,352,n02422106,hartebeest
n02422699,353,n02422699,"impala, Aepyceros melampus"
n02423022,354,n02423022,gazelle
n02437312,355,n02437312,"Arabian camel, dromedary, Camelus dromedarius"
n02437616,356,n02437616,llama
n02441942,357,n02441942,weasel
n02442845,358,n02442845,mink
n02443114,359,n02443114,"polecat, fitch, foulmart, foumart, Mustela putorius"
n02443484,360,n02443484,"black-footed ferret, ferret, Mustela nigripes"
n02444819,361,n02444819,otter
n02445715,362,n02445715,"skunk, polecat, wood pussy"
n02447366,363,n02447366,badger
n02454379,364,n02454379,armadillo
n02457408,365,n02457408,"three-toed sloth, ai, Bradypus tridactylus"
n02480495,366,n02480495,"orangutan, orang, orangutang, Pongo pygmaeus"
n02480855,367,n02480855,"gorilla, Gorilla gorilla"
n02481823,368,n02481823,"chimpanzee, chimp, Pan troglodytes"
n02483362,369,n02483362,"gibbon, Hylobates lar"
n02483708,370,n02483708,"siamang, Hylobates syndactylus, Symphalangus syndactylus"
n02484975,371,n02484975,"guenon, guenon monkey"
n02486261,372,n02486261,"patas, hussar monkey, Erythrocebus patas"
n02486410,373,n02486410,baboon
n02487347,374,n02487347,macaque
n02488291,375,n02488291,langur
n02488702,376,n02488702,"colobus, colobus monkey"
n02489166,377,n02489166,"proboscis monkey, Nasalis larvatus"
n02490219,378,n02490219,marmoset
n02492035,379,n02492035,"capuchin, ringtail, Cebus capucinus"
n02492660,380,n02492660,"howler monkey, howler"
n02493509,381,n02493509,"titi, titi monkey"
n02493793,382,n02493793,"spider monkey, Ateles geoffroyi"
n02494079,383,n02494079,"squirrel monkey, Saimiri sciureus"
n02497673,384,n02497673,"Madagascar cat, ring-tailed lemur, Lemur catta"
n02500267,385,n02500267,"indri, indris, Indri indri, Indri brevicaudatus"
n02504013,386,n02504013,"Indian elephant, Elephas maximus"
n02504458,387,n02504458,"African elephant, Loxodonta africana"
n02509815,388,n02509815,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens"
n02510455,389,n02510455,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca"
n02514041,390,n02514041,"barracouta, snoek"
n02526121,391,n02526121,eel
n02536864,392,n02536864,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch"
n02606052,393,n02606052,"rock beauty, Holocanthus tricolor"
n02607072,394,n02607072,anemone fish
n02640242,395,n02640242,sturgeon
n02641379,396,n02641379,"gar, garfish, garpike, billfish, Lepisosteus osseus"
n02643566,397,n02643566,lionfish
n02655020,398,n02655020,"puffer, pufferfish, blowfish, globefish"
n02666196,399,n02666196,abacus
n02667093,400,n02667093,abaya
n02669723,401,n02669723,"academic gown, academic robe, judge's robe"
n02672831,402,n02672831,"accordion, piano accordion, squeeze box"
n02676566,403,n02676566,acoustic guitar
n02687172,404,n02687172,"aircraft carrier, carrier, flattop, attack aircraft carrier"
n02690373,405,n02690373,airliner
n02692877,406,n02692877,"airship, dirigible"
n02701002,407,n02701002,ambulance
n02704792,408,n02704792,"amphibian, amphibious vehicle"
n02708093,409,n02708093,analog clock
n02727426,410,n02727426,"apiary, bee house"
n02730930,411,n02730930,apron
n02747177,412,n02747177,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin"
n02749479,413,n02749479,"assault rifle, assault gun"
n02769748,414,n02769748,"backpack, back pack, knapsack, packsack, rucksack, haversack"
n02782093,415,n02782093,balloon
n02783161,416,n02783161,"ballpoint, ballpoint pen, ballpen, Biro"
n02786058,417,n02786058,Band Aid
n02787622,418,n02787622,banjo
n02790996,419,n02790996,barbell
n02791124,420,n02791124,barber chair
n02793495,421,n02793495,barn
n02794156,422,n02794156,barometer
n02795169,423,n02795169,"barrel, cask"
n02797295,424,n02797295,"barrow, garden cart, lawn cart, wheelbarrow"
n02799071,425,n02799071,baseball
n02802426,426,n02802426,basketball
n02804414,427,n02804414,bassinet
n02804610,428,n02804610,bassoon
n02808304,429,n02808304,bath towel
n02808440,430,n02808440,"bathtub, bathing tub, bath, tub"
n02814533,431,n02814533,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
n02814860,432,n02814860,"beacon, lighthouse, beacon light, pharos"
n02815834,433,n02815834,beaker
n02817516,434,n02817516,"bearskin, busby, shako"
n02823428,435,n02823428,beer bottle
n02823750,436,n02823750,beer glass
n02834397,437,n02834397,bib
n02835271,438,n02835271,"bicycle-built-for-two, tandem bicycle, tandem"
n02840245,439,n02840245,"binder, ring-binder"
n02841315,440,n02841315,"binoculars, field glasses, opera glasses"
n02843684,441,n02843684,birdhouse
n02859443,442,n02859443,boathouse
n02860847,443,n02860847,"bobsled, bobsleigh, bob"
n02865351,444,n02865351,"bolo tie, bolo, bola tie, bola"
n02869837,445,n02869837,"bonnet, poke bonnet"
n02870880,446,n02870880,bookcase
n02879718,447,n02879718,bow
n02883205,448,n02883205,"bow tie, bow-tie, bowtie"
n02892201,449,n02892201,"brass, memorial tablet, plaque"
n02892767,450,n02892767,"brassiere, bra, bandeau"
n02895154,451,n02895154,"breastplate, aegis, egis"
n02906734,452,n02906734,broom
n02909870,453,n02909870,"bucket, pail"
n02910353,454,n02910353,buckle
n02916936,455,n02916936,bulletproof vest
n02917067,456,n02917067,"bullet train, bullet"
n02930766,457,n02930766,"cab, hack, taxi, taxicab"
n02939185,458,n02939185,"caldron, cauldron"
n02948072,459,n02948072,"candle, taper, wax light"
n02950826,460,n02950826,cannon
n02951358,461,n02951358,canoe
n02951585,462,n02951585,"can opener, tin opener"
n02963159,463,n02963159,cardigan
n02965783,464,n02965783,car mirror
n02966687,465,n02966687,"carpenter's kit, tool kit"
n02971356,466,n02971356,carton
n02978881,467,n02978881,cassette
n02979186,468,n02979186,cassette player
n02980441,469,n02980441,castle
n02981792,470,n02981792,catamaran
n02992211,471,n02992211,"cello, violoncello"
n02992529,472,n02992529,"cellular telephone, cellular phone, cellphone, cell, mobile phone"
n02999410,473,n02999410,chain
n03000134,474,n03000134,chainlink fence
n03000684,475,n03000684,"chain saw, chainsaw"
n03014705,476,n03014705,chest
n03016953,477,n03016953,"chiffonier, commode"
n03017168,478,n03017168,"chime, bell, gong"
n03018349,479,n03018349,"china cabinet, china closet"
n03026506,480,n03026506,Christmas stocking
n03028079,481,n03028079,"church, church building"
n03041632,482,n03041632,"cleaver, meat cleaver, chopper"
n03045698,483,n03045698,cloak
n03047690,484,n03047690,"clog, geta, patten, sabot"
n03062245,485,n03062245,cocktail shaker
n03063599,486,n03063599,coffee mug
n03063689,487,n03063689,coffeepot
n03075370,488,n03075370,combination lock
n03095699,489,n03095699,"container ship, containership, container vessel"
n03100240,490,n03100240,convertible
n03109150,491,n03109150,"corkscrew, bottle screw"
n03110669,492,n03110669,"cornet, horn, trumpet, trump"
n03124043,493,n03124043,cowboy boot
n03124170,494,n03124170,"cowboy hat, ten-gallon hat"
n03125729,495,n03125729,cradle
n03126707,496,n03126707,crane
n03127747,497,n03127747,crash helmet
n03127925,498,n03127925,crate
n03131574,499,n03131574,"crib, cot"
n03133878,500,n03133878,Crock Pot
n03134739,501,n03134739,croquet ball
n03141823,502,n03141823,crutch
n03146219,503,n03146219,cuirass
n03179701,504,n03179701,desk
n03187595,505,n03187595,"dial telephone, dial phone"
n03188531,506,n03188531,"diaper, nappy, napkin"
n03196217,507,n03196217,digital clock
n03197337,508,n03197337,digital watch
n03201208,509,n03201208,"dining table, board"
n03207743,510,n03207743,"dishrag, dishcloth"
n03207941,511,n03207941,"dishwasher, dish washer, dishwashing machine"
n03223299,512,n03223299,"doormat, welcome mat"
n03240683,513,n03240683,"drilling platform, offshore rig"
n03249569,514,n03249569,"drum, membranophone, tympan"
n03250847,515,n03250847,drumstick
n03255030,516,n03255030,dumbbell
n03259280,517,n03259280,Dutch oven
n03271574,518,n03271574,"electric fan, blower"
n03272010,519,n03272010,electric guitar
n03272562,520,n03272562,electric locomotive
n03291819,521,n03291819,envelope
n03297495,522,n03297495,espresso maker
n03314780,523,n03314780,face powder
n03325584,524,n03325584,"feather boa, boa"
n03337140,525,n03337140,"file, file cabinet, filing cabinet"
n03344393,526,n03344393,fireboat
n03345487,527,n03345487,"fire engine, fire truck"
n03347037,528,n03347037,"fire screen, fireguard"
n03355925,529,n03355925,"flagpole, flagstaff"
n03372029,530,n03372029,"flute, transverse flute"
n03376595,531,n03376595,folding chair
n03379051,532,n03379051,football helmet
n03384352,533,n03384352,forklift
n03388183,534,n03388183,fountain pen
n03388549,535,n03388549,four-poster
n03393912,536,n03393912,freight car
n03394916,537,n03394916,"French horn, horn"
n03400231,538,n03400231,"frying pan, frypan, skillet"
n03404251,539,n03404251,fur coat
n03417042,540,n03417042,"garbage truck, dustcart"
n03424325,541,n03424325,"gasmask, respirator, gas helmet"
n03425413,542,n03425413,"gas pump, gasoline pump, petrol pump, island dispenser"
n03443371,543,n03443371,goblet
n03444034,544,n03444034,go-kart
n03445777,545,n03445777,golf ball
n03445924,546,n03445924,"golfcart, golf cart"
n03447447,547,n03447447,gondola
n03447721,548,n03447721,"gong, tam-tam"
n03450230,549,n03450230,gown
n03452741,550,n03452741,"grand piano, grand"
n03467068,551,n03467068,guillotine
n03476684,552,n03476684,hair slide
n03476991,553,n03476991,hair spray
n03478589,554,n03478589,half track
n03481172,555,n03481172,hammer
n03482405,556,n03482405,hamper
n03483316,557,n03483316,"hand blower, blow dryer, blow drier, hair dryer, hair drier"
n03485407,558,n03485407,"hand-held computer, hand-held microcomputer"
n03485794,559,n03485794,"handkerchief, hankie, hanky, hankey"
n03492542,560,n03492542,"hard disc, hard disk, fixed disk"
n03494278,561,n03494278,"harmonica, mouth organ, harp, mouth harp"
n03495258,562,n03495258,harp
n03496892,563,n03496892,"harvester, reaper"
